 ,2018,2019,2020,2021,2022
서울,14811,24607,12769,13259,14804
부산,20419,18842,10390,9953,11247
대구,6613,7932,3509,4007,4552
인천,11122,14560,9471,9142,11080
광주,4396,4992,2676,1808,1912
대전,8944,8959,5307,4603,4869
울산,3891,5636,3949,4194,4729
세종,1526,2591,2326,1883,1795
경기,38279,52365,45496,53400,54979
강원,43659,40436,22362,25422,34101
충북,12044,14702,10117,10416,12070
충남,25582,28290,19645,19146,23629
전북,18633,22484,13794,13838,16270
전남,28518,28197,19603,20129,24340
경북,27840,29853,16564,22634,25247
경남,31735,29076,21398,23508,26805
제주,14222,12549,8649,11097,14251
